Dichorisandra thyrsiflora
Pilea microphylla
Fimbristylis cymosa
Alpinia purpurata
Heterotis rotundifolia
Charaxes solon
Plexippus petersi
Stichodactyla mertensii
Marasmius oreades
Chrysomya megacephala
Haritalodes derogata
Surniculus lugubris
Swietenia macrophylla
Samanea saman
Hevea brasiliensis
Hymenocallis littoralis
Eressa confinis
Spodoptera mauritia
Onychargia atrocyana
Borago officinalis
Polyrhachis armata
Pastor roseus
Achaea janata
Agathia laetata
Charadrius leschenaultii
Apium graveolens
Calendula officinalis
Sterculia apetala
Elaeis guineensis
Abelmoschus esculentus
Leptoglossus gonagra
Cryptolaemus montrouzieri
Penicillaria jocosatrix
Butea monosperma
Chilocorus nigritus
Opuntia cochenillifera
Polydesma boarmoides
Parasa lepida
Cechenena helops
Psilogramma discistriga
Acherontia lachesis
Nyctemera baulus
Euploea tulliolus
Badamia exclamationis
Arachnothera longirostra
Lanius cristatus
Patania iopasalis
Amplypterus panopus
Ardeola bacchus
Cassia fistula
Justicia betonica
Spodiopsar sericeus
Palimna annulata
Cyclosiella dulcicula
Diasemia accalis
Buzara onelia
Phoenicurus auroreus
Zurobata vacillans
Reticularia lycoperdon
Trigonodes hyppasia
Salvinia molesta
Xiphophorus hellerii
Poecilia sphenops
Gomphrena globosa
Ipomoea tricolor
Mangifera indica
Cinnamomum burmanni
Aleurites moluccanus
Araucaria heterophylla
Otus lempiji
Favolaschia manipularis
Platycerium ridleyi
Nepenthes gracilis
Anthracoceros albirostris
Tubastraea diaphana
Eumelea ludovicata
Parantica agleoides
Yepcalphis dilectissima
Theretra alecto
Daphnis hypothous
Erebus macrops
Lexias dirtea
Tanaecia iapis
Pelodiscus sinensis
Eublemma albostriata
Petrea volubilis
Ipomoea alba
Rhyothemis phyllis
Lathrecista asiatica
Tramea transmarina
Telostylinus lineolatus
Ligyra tantalus
Holothuria fuscocinerea
Lawana conspersa
Curetis saronis
Ancylomenes magnificus
Ceratosoma gracillimum
Trachyrhamphus bicoarctatus
Hippocampus kuda
Dactylopus kuiteri
Chloropsis sonnerati
Meiglyptes tristis
Rhipidura javanica
Pellorneum malaccense
Cymbirhynchus macrorhynchos
Bastilla fulvotaenia
Hasora vitta
Pycnonotus brunneus
Brachypodius melanocephalos
Hemipus hirundinaceus
Eriobotrya japonica
Tubulophilinopsis pilsbryi
Chrysococcyx minutillus
Hemiprocne longipennis
Orthotomus ruficeps
Pycnonotus plumosus
Dendrocygna arcuata
Myrmarachne melanocephala
Parapoynx diminutalis
Jamides bochus
Coptops annulipes
Aplonis panayensis
Ardea sumatrana
Fromia monilis
Omphisa anastomosalis
Melaleuca viminalis
Heteropoda boiei
Glyphodes onychinalis
Arothron stellatus
Thaumoctopus mimicus
Erythrina herbacea
Ectropis bhurmitra
Zephyranthes minuta
Sphaeramia nematoptera
Chiasmia emersaria
Lamprosema tampiusalis
Metanastria hyrtaca
Juanulloa mexicana
Acheta domesticus
Rusicada revocans
Ischyja manlia
Remelana jangala
Delta pyriforme
Angonyx testacea
Brunia antica
Adiantum raddianum
Fimbriaphyllia ancora
Goniopora lobata
Corythoichthys ocellatus
Yucca aloifolia
Arothron mappa
Dischistodus prosopotaenia
Ablabys taenianotus
Halichoeres chloropterus
Chromolaena odorata
Agave potatorum
Pareumelea eugeniata
Talanga sexpunctalis
Cenchrus longisetus
Ninox scutulata
Celenna festivaria
Eublemma cochylioides
Lophophleps triangularis
Utricularia gibba
Acorus calamus
Luthrodes pandava
Charadrius alexandrinus
Cerynea punctilinealis
Pardachirus pavoninus
Hypselodoris emma
Boerhavia coccinea
Imperata cylindrica
Citharexylum spinosum
Agave victoriae-reginae
Tozeuma armatum
Xestospongia testudinaria
Dietes bicolor
Pseudobombax ellipticum
Mentha arvensis
Tagetes lucida
Malvaviscus arboreus
Discodoris boholiensis
Hypoestes phyllostachya
Jorunna funebris
Neomyia cornicina
Rhodothemis rufa
Cheilomenes sexmaculata
Tillandsia ionantha
Phlebodium pseudoaureum
Solanum pseudocapsicum
Portulaca pilosa
Hippotion celerio
Hasora chromus
Tradescantia sillamontana
Brassica juncea
Chelidonura varians
Acrochordus granulatus
Sympis rufibasis
Sedum sarmentosum
Plumeria obtusa
Cyanoptila cyanomelana
Orvasca subnotata
Dindica olivacea
Chrysopera combinans
Carassius auratus
Cyprinus rubrofuscus
Geranium macrorrhizum
Sebacina schweinitzii
Culladia hastiferalis
Laspeyria ruficeps
Hemithyrsocera palliata
Ercheia cyllaria
Attacus atlas
Acrostichum aureum
Callosciurus prevostii
Boiga cynodon
Plumbago auriculata
Canna indica
Sedum sexangulare
Amyna axis
Agrobacterium radiobacter
Thalia dealbata
Echinaster callosus
Muscicapa dauurica
Loriculus galgulus
Eudocima phalonia
Thyas coronata
Lobelia erinus
Opuntia microdasys
Ophiusa trapezium
Copera vittata
Anthene lycaenina
Houttuynia cordata
Centrosema molle
Pergesa acteus
Xanthodes transversa
Erebus hieroglyphica
Argyreia nervosa
Beaucarnea recurvata
Coleus amboinicus
Eutropis multifasciata
Macroptilium lathyroides
Hasarius adansoni
Oligodon purpurascens
